student_id,domain,gender,age,10th_marks,12th_marks,graduation_marks,backlogs,internship_done,projects_count,certifications_count,communication_skills,leadership_skills,teamwork_skills,problem_solving_skills,interest_area,python_score,java_score,cpp_score,javascript_score,sql_score,machine_learning_score,data_structures_score,networking_score,cloud_computing_score,cybersecurity_score,web_dev_score,devops_score,circuit_design_score,embedded_c_score,pcb_design_score,matlab_score,vhdl_verilog_score,iot_score,signal_processing_score,microcontrollers_score,robotics_score,communication_systems_score,power_electronics_score,cad_tools_score,cad_design_score,thermodynamics_score,fluid_mechanics_score,manufacturing_processes_score,strength_of_materials_score,autocad_score,ansys_score,robotics_automation_score,quality_management_score,automobile_engineering_score,cnc_programming_score,lean_manufacturing_score,accounting_score,financial_modeling_score,ms_excel_score,marketing_score,business_strategy_score,statistics_score,communication_score,data_analysis_score,erp_knowledge_score,supply_chain_score,hr_management_score,entrepreneurship_score,recommended_career
S1039,Electronics,Female,24,53,51,52,2,1,3,3,4,5,3,7,Telecommunications,,,,,,,,,,,,,8,3,10,4,4,8,6,6,4,5,9,9,,,,,,,,,,,,,,,,,,,,,,,,,Hardware Engineer
S1040,Mechanical,Male,23,50,49,45,2,0,4,2,3,5,5,6,CAD Design,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,8,5,2,6,10,4,4,6,4,,,,,,,,,,,,,Robotics & Automation Engineer
S1041,CS/IT,Male,23,50,47,46,2,1,2,3,4,2,6,7,Cloud & DevOps,8,10,5,4,3,2,10,4,4,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Software Developer
S1042,CS/IT,Male,22,50,45,45,1,0,4,3,5,6,5,4,Coding,4,6,3,7,6,5,4,3,4,7,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Web Developer
S1043,Electronics,Female,23,50,45,48,3,1,4,2,7,6,4,6,IoT,,,,,,,,,,,,,3,8,3,7,7,8,7,10,3,5,8,6,,,,,,,,,,,,,,,,,,,,,,,,,IoT Engineer
S1044,Commerce,Female,23,50,45,54,2,1,5,2,5,4,3,3,Supply Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,6,7,9,4,6,4,6,5,5,Business Analyst
S1045,Electronics,Male,20,50,47,45,1,1,3,1,6,2,5,7,Hardware Design,,,,,,,,,,,,,8,3,6,10,6,2,7,5,4,8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,Signal Processing Engineer
S1046,Mechanical,Prefer not to say,20,50,45,45,3,1,3,2,7,5,3,5,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,8,7,10,8,7,2,6,7,4,3,8,1,,,,,,,,,,,,,Thermal Engineer
S1047,Mechanical,Prefer not to say,24,50,45,45,1,0,5,2,6,3,5,7,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,7,5,6,8,7,1,1,4,9,4,9,7,,,,,,,,,,,,,Manufacturing Engineer
S1048,Mechanical,Prefer not to say,23,50,45,48,4,1,4,2,3,2,6,7,Thermal Systems,,,,,,,,,,,,,,,,,,,,,,,,,9,5,7,3,5,9,5,2,3,8,7,4,,,,,,,,,,,,,CAD/CAM Engineer
S1049,Electronics,Female,25,50,45,45,2,1,5,2,5,6,5,4,VLSI,,,,,,,,,,,,,7,3,8,6,7,5,7,6,4,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,VLSI Design Engineer
S1050,Commerce,Female,19,50,51,46,1,1,4,3,7,7,4,3,Data Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,10,5,4,7,8,10,8,8,6,3,Data Analyst (Business)
S1051,Commerce,Male,25,52,45,54,3,1,4,3,6,4,4,5,Data Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,7,4,6,8,5,4,6,6,6,6,Financial Analyst
S1052,Mechanical,Male,21,53,45,55,3,1,3,1,7,7,4,4,CAD Design,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,10,5,5,7,4,5,3,10,9,,,,,,,,,,,,,Manufacturing Engineer
S1053,Electronics,Female,20,50,45,47,2,1,4,1,2,4,6,7,Embedded Systems,,,,,,,,,,,,,2,9,6,6,5,5,7,7,9,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,Robotics Engineer
S1054,Mechanical,Male,20,50,45,45,1,0,3,2,4,4,4,6,Quality Control,,,,,,,,,,,,,,,,,,,,,,,,,10,7,7,2,4,6,2,5,3,10,3,4,,,,,,,,,,,,,Automobile Engineer
S1055,CS/IT,Prefer not to say,19,50,45,49,3,0,2,1,6,6,3,7,Cloud & DevOps,6,1,6,5,4,5,3,10,5,10,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cybersecurity Analyst
S1056,Electronics,Male,18,50,45,45,1,1,2,2,3,5,6,4,Telecommunications,,,,,,,,,,,,,10,4,6,4,7,5,8,5,6,4,3,10,,,,,,,,,,,,,,,,,,,,,,,,,VLSI Design Engineer
S1057,Electronics,Male,25,50,45,45,2,1,2,1,6,7,3,4,VLSI,,,,,,,,,,,,,6,7,7,9,4,2,10,3,1,10,8,5,,,,,,,,,,,,,,,,,,,,,,,,,Telecom Engineer
S1058,CS/IT,Male,20,55,54,50,4,1,2,2,6,7,5,6,Web Development,10,7,8,5,2,6,8,7,4,4,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Software Developer
S1059,Electronics,Female,24,50,48,45,1,0,3,2,3,4,4,3,VLSI,,,,,,,,,,,,,5,7,4,5,5,10,5,8,4,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,,IoT Engineer
S1060,Electronics,Female,18,54,45,45,1,1,4,3,7,7,6,5,VLSI,,,,,,,,,,,,,4,10,5,9,5,7,5,7,10,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,Robotics Engineer
S1061,Electronics,Prefer not to say,21,50,52,45,1,0,5,2,3,6,7,6,Robotics,,,,,,,,,,,,,5,9,5,7,5,8,6,7,5,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,IoT Engineer
S1062,Commerce,Female,25,50,45,45,3,1,2,3,3,2,6,6,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,10,7,7,6,1,7,6,5,6,3,Business Analyst
S1063,Commerce,Male,24,50,45,45,2,1,5,3,6,4,5,4,Entrepreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,8,5,8,9,6,6,7,2,3,6,Business Analyst
S1064,CS/IT,Prefer not to say,19,50,45,45,4,1,3,3,6,4,5,3,Coding,7,4,2,7,6,9,9,4,7,6,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI/ML Engineer
S1065,CS/IT,Male,21,50,45,45,4,0,4,2,4,5,3,3,AI & ML,7,3,2,5,8,4,1,10,5,10,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cybersecurity Analyst
S1066,Commerce,Female,21,50,45,45,4,1,4,2,6,7,4,5,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,5,10,8,2,6,6,6,6,8,6,Marketing Manager
S1067,Mechanical,Female,25,53,45,54,4,1,4,3,7,7,3,3,CAD/CAM,,,,,,,,,,,,,,,,,,,,,,,,,9,5,6,6,4,10,4,7,4,4,9,4,,,,,,,,,,,,,CAD/CAM Engineer
S1068,Electronics,Female,19,50,45,45,3,0,3,3,5,4,5,3,Signal Processing,,,,,,,,,,,,,4,10,6,5,1,4,5,8,10,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,Robotics Engineer
S1069,Commerce,Male,25,50,45,46,1,1,3,2,3,6,3,7,Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,8,9,6,8,7,5,3,7,8,Marketing Manager
S1070,Mechanical,Male,20,50,58,45,4,1,5,3,4,7,6,7,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,9,8,9,7,8,8,3,6,4,8,3,4,,,,,,,,,,,,,Automobile Engineer
S1071,Commerce,Male,19,54,45,45,3,1,2,2,4,7,5,4,Entrepreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,4,9,3,4,3,10,10,7,7,Supply Chain Manager
S1072,Commerce,Prefer not to say,23,50,49,46,2,1,3,1,3,6,5,7,Business Strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,9,7,4,9,2,7,6,3,4,3,Data Analyst (Business)
S1073,Electronics,Female,22,50,45,48,3,1,2,3,6,4,3,7,Signal Processing,,,,,,,,,,,,,5,10,2,4,4,8,4,9,5,8,7,1,,,,,,,,,,,,,,,,,,,,,,,,,IoT Engineer
S1074,Electronics,Male,22,50,47,45,3,0,3,1,5,4,3,5,Robotics,,,,,,,,,,,,,5,5,5,10,6,1,10,1,5,6,5,4,,,,,,,,,,,,,,,,,,,,,,,,,Signal Processing Engineer
S1075,CS/IT,Female,20,50,45,45,2,1,1,3,3,5,4,3,Databases,5,5,2,6,4,3,4,9,8,4,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cloud Engineer
S1076,Electronics,Male,25,50,45,45,5,1,1,3,2,4,4,3,Signal Processing,,,,,,,,,,,,,5,1,2,9,6,3,7,6,3,7,5,3,,,,,,,,,,,,,,,,,,,,,,,,,Signal Processing Engineer
S1077,Commerce,Male,20,50,45,45,1,0,5,3,3,2,3,3,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,8,5,8,10,7,4,4,3,8,Marketing Manager
S1078,CS/IT,Female,23,50,45,46,3,0,3,1,6,2,3,6,Coding,6,2,2,8,7,4,4,3,3,6,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Web Developer
S1079,CS/IT,Male,24,50,45,45,3,0,5,1,4,3,4,6,Networking,5,4,6,3,10,5,7,6,3,3,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Database Administrator
S1080,Mechanical,Male,22,50,45,45,4,1,4,2,2,6,2,6,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,5,7,5,6,8,2,3,3,9,2,5,6,,,,,,,,,,,,,Quality Control Engineer
S1081,Commerce,Male,23,50,45,45,4,0,2,1,3,4,6,2,Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,8,6,9,7,2,7,2,2,7,6,Business Analyst
S1082,Mechanical,Female,19,50,45,45,2,0,2,1,5,3,2,4,CAD Design,,,,,,,,,,,,,,,,,,,,,,,,,2,6,3,8,4,8,2,4,5,1,8,9,,,,,,,,,,,,,Manufacturing Engineer
S1083,CS/IT,Male,22,50,45,48,2,1,3,3,7,2,6,5,Web Development,5,7,4,10,7,3,5,5,5,4,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Web Developer
S1084,Commerce,Male,20,50,45,45,4,1,2,3,4,6,6,3,Data Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,3,7,5,8,10,3,2,4,2,6,Marketing Manager
S1085,Electronics,Prefer not to say,20,50,45,45,2,0,4,3,2,4,4,4,VLSI,,,,,,,,,,,,,8,4,4,5,6,2,6,7,3,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,,Telecom Engineer
S1086,Electronics,Male,23,50,45,48,3,1,3,3,3,5,6,3,IoT,,,,,,,,,,,,,7,7,4,8,5,3,5,9,8,7,6,4,,,,,,,,,,,,,,,,,,,,,,,,,Robotics Engineer
S1087,Electronics,Male,23,50,45,45,3,0,5,1,3,6,3,5,Hardware Design,,,,,,,,,,,,,9,3,1,7,8,7,7,4,8,3,4,8,,,,,,,,,,,,,,,,,,,,,,,,,VLSI Design Engineer
S1088,Commerce,Male,24,50,45,45,2,0,3,1,4,2,5,2,Business Strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,6,1,6,5,5,4,6,10,5,3,Supply Chain Manager
S1089,Commerce,Female,21,50,45,45,4,1,5,3,3,5,4,3,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,5,6,4,4,10,6,4,2,7,7,HR Manager
S1090,CS/IT,Prefer not to say,25,50,53,53,4,0,3,1,7,6,7,3,Coding,7,5,3,3,4,10,7,5,4,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI/ML Engineer
S1091,CS/IT,Female,22,50,45,48,1,1,3,1,5,5,5,5,Databases,8,6,6,8,7,4,7,4,6,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Database Administrator
S1092,Commerce,Prefer not to say,21,50,45,45,5,1,1,3,2,3,4,5,Data Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,10,3,2,10,5,8,5,2,4,3,Data Analyst (Business)
S1093,Commerce,Male,21,50,47,45,3,0,5,2,5,4,3,6,Business Strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,8,3,4,6,3,3,6,1,5,6,Financial Analyst
S1094,Commerce,Prefer not to say,25,50,45,45,4,0,2,3,6,3,4,3,Supply Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,9,4,3,8,5,8,8,2,6,2,Data Analyst (Business)
S1095,Commerce,Male,25,50,51,53,1,1,3,3,3,5,7,5,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,7,4,7,4,2,4,9,9,7,6,Supply Chain Manager
S1096,CS/IT,Male,20,50,45,45,4,0,5,2,2,2,6,4,Databases,5,4,8,5,8,4,7,3,4,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Database Administrator
S1097,Mechanical,Female,23,50,45,45,1,0,3,1,2,6,6,4,CAD Design,,,,,,,,,,,,,,,,,,,,,,,,,10,2,2,4,7,10,6,1,5,8,6,4,,,,,,,,,,,,,Mechanical Design Engineer
S1098,Mechanical,Prefer not to say,22,50,47,45,4,1,2,3,6,2,4,3,CAD/CAM,,,,,,,,,,,,,,,,,,,,,,,,,4,7,5,5,5,4,7,5,10,3,3,6,,,,,,,,,,,,,Quality Control Engineer
S1099,CS/IT,Male,19,50,46,45,4,1,4,2,5,2,2,3,Networking,8,4,4,9,5,5,6,2,1,5,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Web Developer
S1100,CS/IT,Female,25,50,45,45,2,0,1,1,2,5,6,5,Networking,6,6,1,1,8,5,10,3,5,2,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Database Administrator
S1101,Commerce,Prefer not to say,18,50,51,45,4,1,3,1,6,4,4,5,Business Strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,9,4,4,7,3,4,4,5,6,6,Financial Analyst
S1102,CS/IT,Prefer not to say,21,53,52,49,3,0,2,1,6,4,7,7,Cloud & DevOps,10,7,2,7,4,10,6,4,7,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI/ML Engineer
S1103,Commerce,Male,25,50,46,45,2,1,1,3,6,2,5,5,Supply Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,5,5,9,3,2,5,6,10,3,4,Supply Chain Manager
S1104,Electronics,Male,20,53,57,58,2,1,4,4,8,4,5,5,Hardware Design,,,,,,,,,,,,,5,5,8,10,6,3,10,7,7,8,6,6,,,,,,,,,,,,,,,,,,,,,,,,,Signal Processing Engineer
S1105,Mechanical,Male,22,50,45,45,3,0,2,2,6,3,7,7,CAD/CAM,,,,,,,,,,,,,,,,,,,,,,,,,4,6,3,9,9,8,6,5,7,5,1,8,,,,,,,,,,,,,Quality Control Engineer
S1106,Electronics,Prefer not to say,19,50,45,45,3,1,3,1,6,4,2,4,Signal Processing,,,,,,,,,,,,,5,6,7,7,1,4,5,9,8,6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,Robotics Engineer
S1107,Electronics,Female,21,53,48,51,1,0,4,2,4,7,7,4,Embedded Systems,,,,,,,,,,,,,8,10,8,3,7,3,5,10,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,Embedded Systems Engineer
S1108,Mechanical,Male,24,50,45,45,1,1,4,1,2,2,2,4,CAD/CAM,,,,,,,,,,,,,,,,,,,,,,,,,7,10,7,7,7,3,8,1,6,1,3,4,,,,,,,,,,,,,Thermal Engineer
S1109,Mechanical,Prefer not to say,22,54,45,46,4,0,2,2,4,7,4,4,Quality Control,,,,,,,,,,,,,,,,,,,,,,,,,9,4,7,8,6,4,5,10,5,1,10,3,,,,,,,,,,,,,Robotics & Automation Engineer
S1110,Commerce,Male,20,50,45,49,4,1,2,2,2,4,2,4,Supply Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,6,7,8,7,4,5,3,3,8,Entrepreneur/Startup Founder
S1111,Commerce,Prefer not to say,24,50,45,45,3,1,5,2,5,4,6,7,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,7,8,8,6,10,6,5,5,3,5,Marketing Manager
S1112,Electronics,Prefer not to say,22,50,47,53,1,0,2,3,4,7,4,7,VLSI,,,,,,,,,,,,,3,10,4,5,5,5,8,5,10,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,Robotics Engineer
S1113,Commerce,Prefer not to say,22,50,46,49,2,0,5,2,6,2,6,5,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,6,5,2,7,2,6,6,7,1,3,Financial Analyst
S1114,Electronics,Prefer not to say,19,50,51,49,4,0,3,3,6,2,4,3,VLSI,,,,,,,,,,,,,9,6,10,5,5,3,5,4,3,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,Hardware Engineer
